Tỉnh Thành Phố,Mã TP,Quận Huyện,Mã QH,Phường Xã,Mã PX,Cấp,Tên Tiếng Anh
Thành phố Hà Nội,01,Quận Ba Đình,001,Phường Phúc Xá,00001,Phường,
Thành phố Hà Nội,01,Quận Ba Đình,001,Phường Trúc Bạch,00004,Phường,
Thành phố Hà Nội,01,Quận Ba Đình,001,Phường Vĩnh Phúc,00006,Phường,Vinh Phuc Commune
Thành phố Hà Nội,01,Quận Ba Đình,001,Phường Cống Vị,00007,Phường,
Thành phố Hà Nội,01,Quận Ba Đình,001,Phường Liễu Giai,00008,Phường,Lieu Giai Commune
Thành phố Hà Nội,01,Quận Ba Đình,001,Phường Nguyễn Trung Trực,00010,Phường,
Thành phố Hà Nội,01,Quận Ba Đình,001,Phường Quán Thánh,00013,Phường,
Thành phố Hà Nội,01,Quận Ba Đình,001,Phường Ngọc Hà,00016,Phường,
Thành phố Hà Nội,01,Quận Ba Đình,001,Phường Điện Biên,00019,Phường,
Thành phố Hà Nội,01,Quận Ba Đình,001,Phường Đội Cấn,00022,Phường,
Thành phố Hà Nội,01,Quận Ba Đình,001,Phường Ngọc Khánh,00025,Phường,
Thành phố Hà Nội,01,Quận Ba Đình,001,Phường Kim Mã,00028,Phường,
Thành phố Hà Nội,01,Quận Ba Đình,001,Phường Giảng Võ,00031,Phường,
Thành phố Hà Nội,01,Quận Ba Đình,001,Phường Thành Công,00034,Phường,
Thành phố Hà Nội,01,Quận Hoàn Kiếm,002,Phường Phúc Tân,00037,Phường,
Thành phố Hà Nội,01,Quận Hoàn Kiếm,002,Phường Đồng Xuân,00040,Phường,
Thành phố Hà Nội,01,Quận Hoàn Kiếm,002,Phường Hàng Mã,00043,Phường,
Thành phố Hà Nội,01,Quận Hoàn Kiếm,002,Phường Hàng Buồm,00046,Phường,
Thành phố Hà Nội,01,Quận Hoàn Kiếm,002,Phường Hàng Đào,00049,Phường,
Thành phố Hà Nội,01,Quận Hoàn Kiếm,002,Phường Hàng Bồ,00052,Phường,
Thành phố Hà Nội,01,Quận Hoàn Kiếm,002,Phường Cửa Đông,00055,Phường,
Thành phố Hà Nội,01,Quận Hoàn Kiếm,002,Phường Lý Thái Tổ,00058,Phường,
Thành phố Hà Nội,01,Quận Hoàn Kiếm,002,Phường Hàng Bạc,00061,Phường,
Thành phố Hà Nội,01,Quận Hoàn Kiếm,002,Phường Hàng Gai,00064,Phường,
Thành phố Hà Nội,01,Quận Hoàn Kiếm,002,Phường Chương Dương,00067,Phường,
