"Area, population, population density and administrative units 2018 by district",,,,,
,,,,,
District,Urban,Area (sq km),Average Population (x1000),Population density (person/sq km),Communes
Ba Đình,1,9.21,243.20,26406,14
Hoàn Kiếm,1,5.29,153.00,28922,18
Tây Hồ,1,24.39,166.80,6839,8
Long Biên,1,59.82,294.50,4923,14
Cầu Giấy,1,12.32,280.50,22768,8
Đống Đa,1,9.95,422.10,42422,21
Hai Bà Trưng ,1,10.26,311.80,30390,20
Hoàng Mai,1,40.32,443.60,11002,14
Thanh Xuân,1,9.09,286.70,31540,11
Sóc Sơn,0,304.76,341.10,1119,25
Đông Anh,0,185.62,384.70,2073,23
Gia Lâm,0,116.71,277.20,2375,20
Nam Từ Liêm,1,32.19,240.90,7484,10
Thanh Trì,0,63.49,266.50,4198,15
Bắc Từ Liêm,1,45.32,333.70,7363,13
Mê Linh,0,142.46,228.50,1604,16
Hà Đông,1,49.64,353.20,7115,17
Sơn Tây,0,117.43,151.30,1288,15
Ba Vì,0,423.00,284.10,672,30
Phúc Thọ,0,118.63,183.30,1545,22
Đan Phượng ,0,78.00,164.20,2015,15
Hoài Đức,0,84.93,242.90,2860,19
Quốc Oai,0,151.13,190.00,1257,20
Thạch Thất,0,187.44,207.00,1104,22
Chương Mỹ,0,237.38,332.80,1402,30
Thanh Oai,0,123.87,206.30,1665,20
Thường Tín,0,130.41,249.60,1914,28
Phú Xuyên,0,171.10,212.50,1242,26
Ứng Hoà,0,188.18,205.30,1091,28
Mỹ Đức,0,226.25,195.30,863,21
,,,,,
Total,12,3358.59,7852.60,2338,563
,,,,,
,,,,,
